date,exchange_rate
1063966537000,9.805
1063970003000,9.803
1063983017000,9.782
1063986951000,9.789
1064221398000,9.82
1064224261000,9.807
1064229995000,9.814
1064237226000,9.77
1064242260000,9.809
1064307461000,9.821
1064318165000,9.8
1064328487000,9.801
1064331800000,9.838
1064332812000,9.883
1064393341000,9.903
1064396166000,9.901
1064396626000,9.937
1064397507000,9.908
1064401824000,9.931
1064408698000,9.918
1064411991000,9.946
1064417605000,9.996
1064480273000,9.97
1064483602000,10.034
1064487227000,10.022
1064490929000,10.057
1064498270000,10.031
1064499442000,10.002
1064500405000,9.989
1064503257000,9.987
1064567365000,9.974
1064570374000,9.91
1064573925000,9.933
1064589658000,9.903
1064593396000,9.9
1064825489000,9.895
1064828113000,9.899
1064831282000,9.92
1064843333000,9.879
1064844175000,9.908
1064847200000,9.913
1064849982000,9.897
1064911998000,9.955
1064914809000,9.937
1064921308000,9.923
1064927905000,9.954
1064933462000,9.918
1064937565000,9.88
1064998054000,9.877
1065001557000,9.829
1065003321000,9.836
1065011042000,9.799
1065025371000,9.859
1065084438000,9.927
1065086882000,9.896
1065091195000,9.885
1065103202000,9.899
1065109562000,9.888
1065110944000,9.909
1065171109000,9.905
1065173601000,9.897
1065177627000,9.92
1065188935000,9.895
1065192617000,9.904
1065430710000,9.895
1065435347000,9.907
1065442890000,9.906
1065443290000,9.91
1065447269000,9.93
1065454138000,9.981
1065521601000,10.03
1065531572000,10.014
1065537219000,9.998
1065542359000,10.023
1065602968000,10.021
1065608554000,9.974
1065611164000,9.948
1065617691000,9.992
1065689075000,10.001
1065693651000,9.994
1065699637000,9.996
1065700449000,10.006
1065706073000,9.984
1065709667000,9.96
1065712988000,9.931
1065714188000,9.936
1065776103000,9.948
1065780513000,9.943
1065784674000,9.916
1065795694000,9.911
1065801516000,9.914
1065801920000,9.926
1066036105000,9.895
1066038537000,9.887
1066049433000,9.856
1066051399000,9.867
1066057294000,9.888
1066059582000,9.9
1066121758000,9.911
1066129776000,9.932
1066136129000,9.934
1066141215000,9.938
1066146376000,9.948
1066207545000,9.948
1066210514000,9.943
1066219326000,9.92
1066226026000,9.933
1066231259000,9.953
1066233221000,9.984
1066293959000,9.983
1066295997000,9.995
1066308518000,9.968
1066311953000,9.973
1066319963000,9.973
1066380815000,9.947
1066390142000,9.917
1066395266000,9.915
1066406078000,9.923
1066640002000,9.857
1066644692000,9.863
1066656244000,9.839
1066661339000,9.831
1066726402000,9.85
1066734526000,9.852
1066744707000,9.855
1066814394000,9.881
1066817173000,9.878
1066832608000,9.919
1066902361000,9.92
1066906453000,9.951
1066911059000,9.919
1066915436000,9.918
1066924849000,9.902
1066985731000,9.904
1066996051000,9.893
1067002192000,9.9
1067002815000,9.912
1067010051000,9.904
1067011445000,9.901
1067243982000,9.875
1067249145000,9.892
1067257817000,9.881
1067262317000,9.854
1067262969000,9.873
1067331553000,9.896
1067334817000,9.9
1067340533000,9.883
1067352278000,9.881
1067357072000,9.871
1067417423000,9.883
1067420306000,9.884
1067426675000,9.858
1067439822000,9.87
1067504726000,9.858
1067508603000,9.849
1067511702000,9.847
1067516077000,9.864
1067522791000,9.882
1067525081000,9.861
1067597035000,9.81
1067606279000,9.818
1067613838000,9.787
1067615030000,9.799
1067852916000,9.776
1067858403000,9.741
1067863558000,9.724
1067871336000,9.746
1067873712000,9.721
1067875329000,9.73
1067937049000,9.743
1067939711000,9.702
1067941425000,9.718
